League,Goals Against,Team,GA Home,GA Away,GA First Half,GA Second Half,GA First 15 mins,GA Last 10 mins,GA Home Matches Scored In,GA Away Matches Scored In,GA Pld,GA Per Match,Season,KEY
Premier League,32,Chelsea,9,23,17,15,4,5,11,6,38,0.84,2014/15,Premier League|Chelsea|2014/15
Premier League,33,Southampton,13,20,17,16,5,7,11,4,38,0.87,2014/15,Premier League|Southampton|2014/15
Premier League,36,Arsenal,14,22,13,23,1,7,8,5,38,0.95,2014/15,Premier League|Arsenal|2014/15
Premier League,37,Manchester United,15,22,15,22,5,7,6,5,38,0.97,2014/15,Premier League|Manchester United|2014/15
Premier League,38,Manchester City,14,24,16,22,4,4,9,5,38,1,2014/15,Premier League|Manchester City|2014/15
Premier League,45,Stoke City,22,23,24,21,8,3,5,4,38,1.18,2014/15,Premier League|Stoke City|2014/15
Premier League,47,West Ham United,18,29,21,26,3,12,7,2,38,1.24,2014/15,Premier League|West Ham United|2014/15
Premier League,48,Liverpool,20,28,24,24,7,8,6,8,38,1.26,2014/15,Premier League|Liverpool|2014/15
Premier League,49,Swansea City,22,27,22,27,4,7,6,7,38,1.29,2014/15,Premier League|Swansea City|2014/15
Premier League,50,Everton,21,29,19,31,3,10,8,2,38,1.32,2014/15,Premier League|Everton|2014/15
Premier League,51,West Bromwich Albion,26,25,33,18,13,7,8,8,38,1.34,2014/15,Premier League|West Bromwich Albion|2014/15
Premier League,51,Crystal Palace,27,24,23,28,10,11,3,4,38,1.34,2014/15,Premier League|Crystal Palace|2014/15
Premier League,51,Hull City,24,27,22,29,10,8,6,4,38,1.34,2014/15,Premier League|Hull City|2014/15
Premier League,53,Burnley,21,32,31,22,5,5,7,3,38,1.39,2014/15,Premier League|Burnley|2014/15
Premier League,53,Tottenham Hotspur,24,29,27,26,9,7,5,4,38,1.39,2014/15,Premier League|Tottenham Hotspur|2014/15
Premier League,53,Sunderland,27,26,25,28,6,7,6,7,38,1.39,2014/15,Premier League|Sunderland|2014/15
Premier League,55,Leicester City,22,33,27,28,5,7,6,4,38,1.45,2014/15,Premier League|Leicester City|2014/15
Premier League,57,Aston Villa,25,32,24,33,10,13,4,6,38,1.5,2014/15,Premier League|Aston Villa|2014/15
Premier League,63,Newcastle United,27,36,28,35,10,12,5,3,38,1.66,2014/15,Premier League|Newcastle United|2014/15
Premier League,73,Queens Park Rangers,24,49,34,39,8,14,5,1,38,1.92,2014/15,Premier League|Queens Park Rangers|2014/15
Bundesliga,18,Bayern Munich,7,11,8,10,1,2,11,11,34,0.53,2014/15,Bundesliga|Bayern Munich|2014/15
Bundesliga,26,"Borussia M'gladbach",14,12,9,17,3,2,8,7,34,0.76,2014/15,"Bundesliga|Borussia M'gladbach|2014/15"
Bundesliga,36,Bayer Leverkusen,15,21,16,20,4,8,10,7,34,1.06,2014/15,Bundesliga|Bayer Leverkusen|2014/15
Bundesliga,38,VfL Wolfsburg,13,25,19,19,7,4,6,2,34,1.12,2014/15,Bundesliga|VfL Wolfsburg|2014/15
Bundesliga,40,FC Schalke 04,14,26,17,23,3,4,7,3,34,1.18,2014/15,Bundesliga|FC Schalke 04|2014/15
