League,Goals For,Team,GF Home,GF Away,GF First Half,GF Second Half,GF First 15 mins,GF Last 10 mins,GF Home Matches Scored In,GF Away Matches Scored In,GF Pld,GF Per Match,Season,KEY
Premier League,106,Manchester City,61,45,45,61,12,20,18,18,38,2.79,2017/18,Premier League|Manchester City|2017/18
Premier League,84,Liverpool,45,39,35,49,8,10,16,15,38,2.21,2017/18,Premier League|Liverpool|2017/18
Premier League,74,Tottenham Hotspur,40,34,27,47,7,12,18,16,38,1.95,2017/18,Premier League|Tottenham Hotspur|2017/18
Premier League,74,Arsenal,54,20,30,44,11,15,18,14,38,1.95,2017/18,Premier League|Arsenal|2017/18
Premier League,68,Manchester United,38,30,29,39,7,16,17,13,38,1.79,2017/18,Premier League|Manchester United|2017/18
Premier League,62,Chelsea,30,32,30,32,7,10,15,15,38,1.63,2017/18,Premier League|Chelsea|2017/18
Premier League,56,Leicester City,25,31,26,30,9,11,15,15,38,1.47,2017/18,Premier League|Leicester City|2017/18
Premier League,48,West Ham United,24,24,20,28,4,8,15,14,38,1.26,2017/18,Premier League|West Ham United|2017/18
Premier League,45,AFC Bournemouth,26,19,17,28,4,10,14,12,38,1.18,2017/18,Premier League|AFC Bournemouth|2017/18
Premier League,45,Crystal Palace,29,16,18,27,6,13,14,10,38,1.18,2017/18,Premier League|Crystal Palace|2017/18
Premier League,44,Everton,28,16,15,29,2,6,14,13,38,1.16,2017/18,Premier League|Everton|2017/18
Premier League,44,Watford,27,17,17,27,8,11,15,9,38,1.16,2017/18,Premier League|Watford|2017/18
Premier League,39,Newcastle United,21,18,16,23,5,4,12,12,38,1.03,2017/18,Premier League|Newcastle United|2017/18
Premier League,37,Southampton,20,17,16,21,5,5,12,12,38,0.97,2017/18,Premier League|Southampton|2017/18
Premier League,36,Burnley,16,20,16,20,4,9,13,12,38,0.95,2017/18,Premier League|Burnley|2017/18
Premier League,35,Stoke City,20,15,17,18,2,3,13,12,38,0.92,2017/18,Premier League|Stoke City|2017/18
Premier League,34,Brighton & Hove Albion,24,10,16,18,5,2,14,7,38,0.89,2017/18,Premier League|Brighton & Hove Albion|2017/18
Premier League,31,West Bromwich Albion,21,10,12,19,6,5,15,10,38,0.82,2017/18,Premier League|West Bromwich Albion|2017/18
Premier League,28,Huddersfield Town,16,12,15,13,4,4,11,6,38,0.74,2017/18,Premier League|Huddersfield Town|2017/18
Premier League,28,Swansea City,17,11,10,18,3,6,11,9,38,0.74,2017/18,Premier League|Swansea City|2017/18
Bundesliga,92,Bayern Munich,56,36,44,48,10,14,16,16,34,2.71,2017/18,Bundesliga|Bayern Munich|2017/18
Bundesliga,66,TSG 1899 Hoffenheim,38,28,26,40,9,13,17,14,34,1.94,2017/18,Bundesliga|TSG 1899 Hoffenheim|2017/18
Bundesliga,64,Borussia Dortmund,40,24,30,34,8,7,16,14,34,1.88,2017/18,Bundesliga|Borussia Dortmund|2017/18
Bundesliga,58,Bayer Leverkusen,29,29,22,36,3,8,13,13,34,1.71,2017/18,Bundesliga|Bayer Leverkusen|2017/18
Bundesliga,57,RB Leipzig,34,23,25,32,7,8,17,11,34,1.68,2017/18,Bundesliga|RB Leipzig|2017/18
Bundesliga,53,FC Schalke 04,27,26,25,28,7,9,16,15,34,1.56,2017/18,Bundesliga|FC Schalke 04|2017/18
Bundesliga,47,"Borussia M'gladbach",28,19,24,23,9,4,14,11,34,1.38,2017/18,"Bundesliga|Borussia M'gladbach|2017/18"
Bundesliga,45,Eintracht Frankfurt,26,19,24,21,6,8,13,13,34,1.32,2017/18,Bundesliga|Eintracht Frankfurt|2017/18
Bundesliga,44,Hannover 96,28,16,19,25,2,9,13,14,34,1.29,2017/18,Bundesliga|Hannover 96|2017/18
Bundesliga,43,Hertha BSC,23,20,15,28,4,7,13,11,34,1.26,2017/18,Bundesliga|Hertha BSC|2017/18
Bundesliga,43,FC Augsburg,24,19,20,23,4,9,15,9,34,1.26,2017/18,Bundesliga|FC Augsburg|2017/18
Bundesliga,38,1. FSV Mainz 05,22,16,18,20,5,7,12,10,34,1.12,2017/18,Bundesliga|1. FSV Mainz 05|2017/18
Bundesliga,37,Werder Bremen,20,17,17,20,3,4,11,10,34,1.09,2017/18,Bundesliga|Werder Bremen|2017/18
Bundesliga,36,VfL Wolfsburg,23,13,16,20,7,5,14,10,34,1.06,2017/18,Bundesliga|VfL Wolfsburg|2017/18
