League,Country,Team,Players,Season,KEY
Premier League,England,,176,2017/18,Premier League||2017/18
Premier League,France,,31,2017/18,Premier League||2017/18
Premier League,Spain,,31,2017/18,Premier League||2017/18
Premier League,Netherlands,,23,2017/18,Premier League||2017/18
Premier League,Belgium,,20,2017/18,Premier League||2017/18
Premier League,Republic of Ireland,,18,2017/18,Premier League||2017/18
Premier League,Argentina,,16,2017/18,Premier League||2017/18
Premier League,Germany,,15,2017/18,Premier League||2017/18
Premier League,Scotland,,14,2017/18,Premier League||2017/18
Premier League,Brazil,,13,2017/18,Premier League||2017/18
Premier League,Wales,,13,2017/18,Premier League||2017/18
Premier League,Senegal,,10,2017/18,Premier League||2017/18
Premier League,Denmark,,8,2017/18,Premier League||2017/18
Premier League,Austria,,7,2017/18,Premier League||2017/18
Premier League,Italy,,6,2017/18,Premier League||2017/18
Premier League,"Cote d'Ivoire",,5,2017/18,Premier League||2017/18
Premier League,Serbia,,5,2017/18,Premier League||2017/18
Premier League,Switzerland,,5,2017/18,Premier League||2017/18
Premier League,Northern Ireland,,5,2017/18,Premier League||2017/18
Premier League,Portugal,,5,2017/18,Premier League||2017/18
Premier League,Democratic Republic of Congo,,5,2017/18,Premier League||2017/18
Premier League,Ghana,,5,2017/18,Premier League||2017/18
Premier League,Cameroon,,4,2017/18,Premier League||2017/18
Premier League,United States,,4,2017/18,Premier League||2017/18
Premier League,Egypt,,4,2017/18,Premier League||2017/18
Premier League,Greece,,4,2017/18,Premier League||2017/18
Premier League,Jamaica,,3,2017/18,Premier League||2017/18
Premier League,South Korea,,3,2017/18,Premier League||2017/18
Premier League,Poland,,3,2017/18,Premier League||2017/18
Premier League,Bosnia and Herzegovina,,3,2017/18,Premier League||2017/18
Premier League,Nigeria,,3,2017/18,Premier League||2017/18
Premier League,Sweden,,3,2017/18,Premier League||2017/18
Premier League,Colombia,,3,2017/18,Premier League||2017/18
Premier League,Morocco,,3,2017/18,Premier League||2017/18
Premier League,Mali,,3,2017/18,Premier League||2017/18
Premier League,Chile,,2,2017/18,Premier League||2017/18
Premier League,Australia,,2,2017/18,Premier League||2017/18
Premier League,Croatia,,2,2017/18,Premier League||2017/18
Premier League,Algeria,,2,2017/18,Premier League||2017/18
Premier League,Japan,,2,2017/18,Premier League||2017/18
Premier League,New Zealand,,2,2017/18,Premier League||2017/18
Premier League,Israel,,2,2017/18,Premier League||2017/18
Premier League,Norway,,2,2017/18,Premier League||2017/18
Premier League,Iceland,,2,2017/18,Premier League||2017/18
Premier League,Turkey,,1,2017/18,Premier League||2017/18
Premier League,Armenia,,1,2017/18,Premier League||2017/18
Premier League,Mexico,,1,2017/18,Premier League||2017/18
Premier League,Venezuela,,1,2017/18,Premier League||2017/18
Premier League,Uruguay,,1,2017/18,Premier League||2017/18
