League,Goals For,Team,GF Home,GF Away,GF First Half,GF Second Half,GF First 15 mins,GF Last 10 mins,GF Home Matches Scored In,GF Away Matches Scored In,GF Pld,GF Per Match,Season,KEY
Premier League,86,Tottenham Hotspur,47,39,36,50,10,17,19,14,38,2.26,2016/17,Premier League|Tottenham Hotspur|2016/17
Premier League,85,Chelsea,55,30,37,48,12,19,19,16,38,2.24,2016/17,Premier League|Chelsea|2016/17
Premier League,80,Manchester City,37,43,36,44,9,15,17,16,38,2.11,2016/17,Premier League|Manchester City|2016/17
Premier League,78,Liverpool,45,33,39,39,6,6,17,16,38,2.05,2016/17,Premier League|Liverpool|2016/17
Premier League,77,Arsenal,39,38,27,50,7,20,18,16,38,2.03,2016/17,Premier League|Arsenal|2016/17
Premier League,62,Everton,42,20,23,39,4,19,17,13,38,1.63,2016/17,Premier League|Everton|2016/17
Premier League,55,AFC Bournemouth,35,20,27,28,9,12,16,13,38,1.45,2016/17,Premier League|AFC Bournemouth|2016/17
Premier League,54,Manchester United,26,28,28,26,4,11,16,14,38,1.42,2016/17,Premier League|Manchester United|2016/17
Premier League,50,Crystal Palace,24,26,17,33,5,13,12,13,38,1.32,2016/17,Premier League|Crystal Palace|2016/17
Premier League,48,Leicester City,31,17,23,25,8,6,14,12,38,1.26,2016/17,Premier League|Leicester City|2016/17
Premier League,47,West Ham United,19,28,19,28,7,9,14,15,38,1.24,2016/17,Premier League|West Ham United|2016/17
Premier League,45,Swansea City,27,18,17,28,7,11,14,13,38,1.18,2016/17,Premier League|Swansea City|2016/17
Premier League,43,West Bromwich Albion,27,16,21,22,8,6,11,12,38,1.13,2016/17,Premier League|West Bromwich Albion|2016/17
Premier League,41,Southampton,17,24,19,22,5,11,11,12,38,1.08,2016/17,Premier League|Southampton|2016/17
Premier League,41,Stoke City,24,17,23,18,6,3,15,12,38,1.08,2016/17,Premier League|Stoke City|2016/17
Premier League,40,Watford,25,15,17,23,9,5,15,8,38,1.05,2016/17,Premier League|Watford|2016/17
Premier League,39,Burnley,26,13,16,23,7,8,15,11,38,1.03,2016/17,Premier League|Burnley|2016/17
Premier League,37,Hull City,28,9,11,26,3,5,14,8,38,0.97,2016/17,Premier League|Hull City|2016/17
Premier League,29,Sunderland,16,13,11,18,2,7,10,8,38,0.76,2016/17,Premier League|Sunderland|2016/17
Premier League,27,Middlesbrough,17,10,15,12,5,1,13,7,38,0.71,2016/17,Premier League|Middlesbrough|2016/17
Bundesliga,89,Bayern Munich,55,34,40,49,9,20,17,14,34,2.62,2016/17,Bundesliga|Bayern Munich|2016/17
Bundesliga,72,Borussia Dortmund,41,31,30,42,16,15,15,15,34,2.12,2016/17,Bundesliga|Borussia Dortmund|2016/17
Bundesliga,66,RB Leipzig,35,31,28,38,13,12,14,13,34,1.94,2016/17,Bundesliga|RB Leipzig|2016/17
Bundesliga,64,TSG 1899 Hoffenheim,35,29,27,37,8,14,15,16,34,1.88,2016/17,Bundesliga|TSG 1899 Hoffenheim|2016/17
Bundesliga,61,Werder Bremen,28,33,28,33,7,12,16,16,34,1.79,2016/17,Bundesliga|Werder Bremen|2016/17
Bundesliga,53,Bayer Leverkusen,27,26,21,32,7,9,13,14,34,1.56,2016/17,Bundesliga|Bayer Leverkusen|2016/17
Bundesliga,51,1. FC Koln,29,22,27,24,5,8,15,12,34,1.5,2016/17,Bundesliga|1. FC Koln|2016/17
Bundesliga,45,FC Schalke 04,29,16,22,23,9,6,14,12,34,1.32,2016/17,Bundesliga|FC Schalke 04|2016/17
