League,Goals For,Team,GF Home,GF Away,GF First Half,GF Second Half,GF First 15 mins,GF Last 10 mins,GF Home Matches Scored In,GF Away Matches Scored In,GF Pld,GF Per Match,Season,KEY
Eredivisie,70,AZ Alkmaar,38,32,31,39,12,9,13,15,34,2.06,2015/16,Eredivisie|AZ Alkmaar|2015/16
Eredivisie,62,Feyenoord,33,29,27,35,8,9,15,16,34,1.82,2015/16,Eredivisie|Feyenoord|2015/16
Eredivisie,57,FC Utrecht,30,27,18,39,5,19,15,14,34,1.68,2015/16,Eredivisie|FC Utrecht|2015/16
Eredivisie,56,PEC Zwolle,35,21,28,28,8,6,16,11,34,1.65,2015/16,Eredivisie|PEC Zwolle|2015/16
Eredivisie,55,Vitesse Arnhem,30,25,22,33,6,12,12,12,34,1.62,2015/16,Eredivisie|Vitesse Arnhem|2015/16
Eredivisie,49,FC Twente,31,18,21,28,3,10,16,12,34,1.44,2015/16,Eredivisie|FC Twente|2015/16
Eredivisie,47,ADO Den Haag,20,27,22,25,7,7,13,15,34,1.38,2015/16,Eredivisie|ADO Den Haag|2015/16
Eredivisie,47,Heracles Almelo,28,19,22,25,5,8,14,11,34,1.38,2015/16,Eredivisie|Heracles Almelo|2015/16
Eredivisie,46,SC Heerenveen,24,22,17,29,6,8,12,14,34,1.35,2015/16,Eredivisie|SC Heerenveen|2015/16
Eredivisie,41,FC Groningen,25,16,16,25,4,9,14,11,34,1.21,2015/16,Eredivisie|FC Groningen|2015/16
Eredivisie,39,De Graafschap,23,16,16,23,5,9,13,12,34,1.15,2015/16,Eredivisie|De Graafschap|2015/16
Eredivisie,35,Willem II Tilburg,19,16,19,16,3,3,9,11,34,1.03,2015/16,Eredivisie|Willem II Tilburg|2015/16
Eredivisie,35,NEC Nijmegen,23,12,11,24,1,5,13,8,34,1.03,2015/16,Eredivisie|NEC Nijmegen|2015/16
Eredivisie,34,SBV Excelsior,21,13,13,21,5,9,13,7,34,1,2015/16,Eredivisie|SBV Excelsior|2015/16
Eredivisie,34,Roda JC Kerkrade,15,19,16,18,3,7,11,12,34,1,2015/16,Eredivisie|Roda JC Kerkrade|2015/16
Eredivisie,33,SC Cambuur,12,21,15,18,3,4,8,13,34,0.97,2015/16,Eredivisie|SC Cambuur|2015/16
Serie A,83,AS Roma,44,39,35,48,13,19,18,16,38,2.18,2015/16,Serie A|AS Roma|2015/16
Serie A,80,Napoli,49,31,36,44,12,12,18,14,38,2.11,2015/16,Serie A|Napoli|2015/16
Serie A,75,Juventus,37,38,34,41,8,18,18,16,38,1.97,2015/16,Serie A|Juventus|2015/16
Serie A,60,Fiorentina,34,26,32,28,10,13,18,14,38,1.58,2015/16,Serie A|Fiorentina|2015/16
Serie A,52,Torino,25,27,21,31,6,8,14,15,38,1.37,2015/16,Serie A|Torino|2015/16
Serie A,52,SS Lazio,32,20,18,34,8,14,15,11,38,1.37,2015/16,Serie A|SS Lazio|2015/16
Serie A,50,Internazionale,29,21,22,28,4,7,17,15,38,1.32,2015/16,Serie A|Internazionale|2015/16
Serie A,49,Sassuolo,25,24,30,19,7,6,15,16,38,1.29,2015/16,Serie A|Sassuolo|2015/16
Serie A,49,AC Milan,28,21,23,26,7,5,15,12,38,1.29,2015/16,Serie A|AC Milan|2015/16
Serie A,48,Sampdoria,29,19,20,28,5,9,14,13,38,1.26,2015/16,Serie A|Sampdoria|2015/16
Serie A,45,Genoa,29,16,17,28,8,7,14,10,38,1.18,2015/16,Serie A|Genoa|2015/16
Serie A,43,Chievo,25,18,19,24,9,6,13,12,38,1.13,2015/16,Serie A|Chievo|2015/16
Serie A,41,Atalanta,27,14,20,21,4,9,15,10,38,1.08,2015/16,Serie A|Atalanta|2015/16
Serie A,40,Empoli,22,18,18,22,4,5,15,13,38,1.05,2015/16,Serie A|Empoli|2015/16
Serie A,38,Palermo,24,14,17,21,5,7,12,11,38,1,2015/16,Serie A|Palermo|2015/16
Serie A,37,Carpi,23,14,14,23,1,9,15,9,38,0.97,2015/16,Serie A|Carpi|2015/16
Serie A,35,Frosinone,18,17,17,18,5,6,10,11,38,0.92,2015/16,Serie A|Frosinone|2015/16
Serie A,35,Udinese,18,17,17,18,5,4,12,14,38,0.92,2015/16,Serie A|Udinese|2015/16
Serie A,34,Hellas Verona,21,13,10,24,1,6,13,10,38,0.89,2015/16,Serie A|Hellas Verona|2015/16
Serie A,33,Bologna,20,13,17,16,8,8,10,10,38,0.87,2015/16,Serie A|Bologna|2015/16
Scottish Premiership,93,Celtic,55,38,46,47,13,10,16,18,38,2.45,2015/16,Scottish Premiership|Celtic|2015/16
Scottish Premiership,62,Aberdeen,30,32,32,30,12,8,16,17,38,1.63,2015/16,Scottish Premiership|Aberdeen|2015/16
Scottish Premiership,59,Heart of Midlothian,37,22,28,31,8,8,18,12,38,1.55,2015/16,Scottish Premiership|Heart of Midlothian|2015/16
Scottish Premiership,58,St Johnstone,27,31,26,32,11,9,15,15,38,1.53,2015/16,Scottish Premiership|St Johnstone|2015/16
Scottish Premiership,55,Ross County,29,26,29,26,8,8,15,13,38,1.45,2015/16,Scottish Premiership|Ross County|2015/16
Scottish Premiership,54,Inverness Cali,25,29,23,31,8,6,12,15,38,1.42,2015/16,Scottish Premiership|Inverness Cali|2015/16
Scottish Premiership,53,Dundee,30,23,26,27,10,10,15,13,38,1.39,2015/16,Scottish Premiership|Dundee|2015/16
Scottish Premiership,47,Motherwell,27,20,22,25,10,8,16,13,38,1.24,2015/16,Scottish Premiership|Motherwell|2015/16
Scottish Premiership,45,Dundee United,22,23,22,23,7,11,13,13,38,1.18,2015/16,Scottish Premiership|Dundee United|2015/16
Scottish Premiership,42,Hamilton Academical,21,21,16,26,5,10,12,13,38,1.11,2015/16,Scottish Premiership|Hamilton Academical|2015/16
Scottish Premiership,41,Kilmarnock,19,22,19,22,5,7,10,14,38,1.08,2015/16,Scottish Premiership|Kilmarnock|2015/16
Scottish Premiership,41,Partick Thistle,21,20,16,25,9,7,14,10,38,1.08,2015/16,Scottish Premiership|Partick Thistle|2015/16
