League,Country,Team,Players,Season,KEY
Premier League,England,,181,2016/17,Premier League||2016/17
Premier League,Spain,,36,2016/17,Premier League||2016/17
Premier League,France,,31,2016/17,Premier League||2016/17
Premier League,Belgium,,21,2016/17,Premier League||2016/17
Premier League,Netherlands,,20,2016/17,Premier League||2016/17
Premier League,Republic of Ireland,,19,2016/17,Premier League||2016/17
Premier League,Scotland,,18,2016/17,Premier League||2016/17
Premier League,Argentina,,16,2016/17,Premier League||2016/17
Premier League,Brazil,,14,2016/17,Premier League||2016/17
Premier League,Wales,,11,2016/17,Premier League||2016/17
Premier League,Germany,,11,2016/17,Premier League||2016/17
Premier League,Senegal,,9,2016/17,Premier League||2016/17
Premier League,Italy,,8,2016/17,Premier League||2016/17
Premier League,Serbia,,7,2016/17,Premier League||2016/17
Premier League,Nigeria,,7,2016/17,Premier League||2016/17
Premier League,Sweden,,6,2016/17,Premier League||2016/17
Premier League,Northern Ireland,,6,2016/17,Premier League||2016/17
Premier League,"Cote d'Ivoire",,6,2016/17,Premier League||2016/17
Premier League,Norway,,5,2016/17,Premier League||2016/17
Premier League,Ghana,,5,2016/17,Premier League||2016/17
Premier League,Uruguay,,5,2016/17,Premier League||2016/17
Premier League,Switzerland,,5,2016/17,Premier League||2016/17
Premier League,Austria,,4,2016/17,Premier League||2016/17
Premier League,Denmark,,4,2016/17,Premier League||2016/17
Premier League,Poland,,4,2016/17,Premier League||2016/17
Premier League,Portugal,,4,2016/17,Premier League||2016/17
Premier League,Algeria,,4,2016/17,Premier League||2016/17
Premier League,Democratic Republic of Congo,,3,2016/17,Premier League||2016/17
Premier League,Ecuador,,3,2016/17,Premier League||2016/17
Premier League,Colombia,,3,2016/17,Premier League||2016/17
Premier League,South Korea,,3,2016/17,Premier League||2016/17
Premier League,Australia,,3,2016/17,Premier League||2016/17
Premier League,Egypt,,3,2016/17,Premier League||2016/17
Premier League,United States,,3,2016/17,Premier League||2016/17
Premier League,Morocco,,2,2016/17,Premier League||2016/17
Premier League,Jamaica,,2,2016/17,Premier League||2016/17
Premier League,Japan,,2,2016/17,Premier League||2016/17
Premier League,Cameroon,,2,2016/17,Premier League||2016/17
Premier League,Czech Republic,,2,2016/17,Premier League||2016/17
Premier League,Chile,,2,2016/17,Premier League||2016/17
Premier League,Iceland,,2,2016/17,Premier League||2016/17
Premier League,Tunisia,,2,2016/17,Premier League||2016/17
Premier League,Mali,,1,2016/17,Premier League||2016/17
Premier League,Croatia,,1,2016/17,Premier League||2016/17
Premier League,Kenya,,1,2016/17,Premier League||2016/17
Premier League,Venezuela,,1,2016/17,Premier League||2016/17
Premier League,Greece,,1,2016/17,Premier League||2016/17
Premier League,Canada,,1,2016/17,Premier League||2016/17
Premier League,Romania,,1,2016/17,Premier League||2016/17
Premier League,Bosnia and Herzegovina,,1,2016/17,Premier League||2016/17
Premier League,Gabon,,1,2016/17,Premier League||2016/17
Premier League,New Zealand,,1,2016/17,Premier League||2016/17
Premier League,Estonia,,1,2016/17,Premier League||2016/17
Premier League,Costa Rica,,1,2016/17,Premier League||2016/17
Premier League,Equatorial Guinea,,1,2016/17,Premier League||2016/17
Premier League,The Gambia,,1,2016/17,Premier League||2016/17
Premier League,Slovakia,,1,2016/17,Premier League||2016/17
Premier League,Turkey,,1,2016/17,Premier League||2016/17
Premier League,South Africa,,1,2016/17,Premier League||2016/17
Premier League,Benin,,1,2016/17,Premier League||2016/17
Premier League,Curacao,,1,2016/17,Premier League||2016/17
Premier League,Armenia,,1,2016/17,Premier League||2016/17
Bundesliga,Germany,,215,2016/17,Bundesliga||2016/17
Bundesliga,Switzerland,,23,2016/17,Bundesliga||2016/17
Bundesliga,Austria,,18,2016/17,Bundesliga||2016/17
Bundesliga,Brazil,,16,2016/17,Bundesliga||2016/17
Bundesliga,France,,15,2016/17,Bundesliga||2016/17
Bundesliga,Spain,,14,2016/17,Bundesliga||2016/17
Bundesliga,Turkey,,11,2016/17,Bundesliga||2016/17
Bundesliga,Serbia,,9,2016/17,Bundesliga||2016/17
Bundesliga,United States,,9,2016/17,Bundesliga||2016/17
Bundesliga,Denmark,,8,2016/17,Bundesliga||2016/17
Bundesliga,Sweden,,7,2016/17,Bundesliga||2016/17
Bundesliga,Japan,,7,2016/17,Bundesliga||2016/17
Bundesliga,Netherlands,,7,2016/17,Bundesliga||2016/17
Bundesliga,Croatia,,6,2016/17,Bundesliga||2016/17
Bundesliga,Bosnia and Herzegovina,,6,2016/17,Bundesliga||2016/17
Bundesliga,Czech Republic,,5,2016/17,Bundesliga||2016/17
Bundesliga,Norway,,5,2016/17,Bundesliga||2016/17
Bundesliga,Poland,,5,2016/17,Bundesliga||2016/17
Bundesliga,Ukraine,,4,2016/17,Bundesliga||2016/17
Bundesliga,Argentina,,4,2016/17,Bundesliga||2016/17
Bundesliga,Portugal,,4,2016/17,Bundesliga||2016/17
Bundesliga,Greece,,4,2016/17,Bundesliga||2016/17
Bundesliga,Slovakia,,4,2016/17,Bundesliga||2016/17
Bundesliga,Hungary,,4,2016/17,Bundesliga||2016/17
Bundesliga,Belgium,,3,2016/17,Bundesliga||2016/17
Bundesliga,Italy,,3,2016/17,Bundesliga||2016/17
Bundesliga,Slovenia,,3,2016/17,Bundesliga||2016/17
Bundesliga,South Korea,,3,2016/17,Bundesliga||2016/17
Bundesliga,Chile,,3,2016/17,Bundesliga||2016/17
Bundesliga,Finland,,3,2016/17,Bundesliga||2016/17
Bundesliga,Nigeria,,3,2016/17,Bundesliga||2016/17
Bundesliga,Mexico,,2,2016/17,Bundesliga||2016/17
Bundesliga,Colombia,,2,2016/17,Bundesliga||2016/17
Bundesliga,Guinea,,2,2016/17,Bundesliga||2016/17
Bundesliga,Ghana,,2,2016/17,Bundesliga||2016/17
Bundesliga,Democratic Republic of Congo,,2,2016/17,Bundesliga||2016/17
Bundesliga,Israel,,2,2016/17,Bundesliga||2016/17
Bundesliga,Albania,,2,2016/17,Bundesliga||2016/17
Bundesliga,Paraguay,,2,2016/17,Bundesliga||2016/17
Bundesliga,Cameroon,,2,2016/17,Bundesliga||2016/17
Bundesliga,Jamaica,,2,2016/17,Bundesliga||2016/17
Bundesliga,Senegal,,2,2016/17,Bundesliga||2016/17
Bundesliga,The Gambia,,2,2016/17,Bundesliga||2016/17
Bundesliga,Tunisia,,2,2016/17,Bundesliga||2016/17
Bundesliga,Scotland,,1,2016/17,Bundesliga||2016/17
Bundesliga,Algeria,,1,2016/17,Bundesliga||2016/17
Bundesliga,Gabon,,1,2016/17,Bundesliga||2016/17
Bundesliga,Morocco,,1,2016/17,Bundesliga||2016/17
Bundesliga,Peru,,1,2016/17,Bundesliga||2016/17
Bundesliga,Mali,,1,2016/17,Bundesliga||2016/17
Bundesliga,Ecuador,,1,2016/17,Bundesliga||2016/17
Bundesliga,"Cote d'Ivoire",,1,2016/17,Bundesliga||2016/17
Bundesliga,Latvia,,1,2016/17,Bundesliga||2016/17
Bundesliga,Kosovo,,1,2016/17,Bundesliga||2016/17
Bundesliga,Australia,,1,2016/17,Bundesliga||2016/17
Bundesliga,Iceland,,1,2016/17,Bundesliga||2016/17
Bundesliga,Uruguay,,1,2016/17,Bundesliga||2016/17
La Liga,Spain,,302,2016/17,La Liga||2016/17
La Liga,Argentina,,32,2016/17,La Liga||2016/17
La Liga,France,,31,2016/17,La Liga||2016/17
La Liga,Brazil,,29,2016/17,La Liga||2016/17
La Liga,Portugal,,15,2016/17,La Liga||2016/17
La Liga,Italy,,10,2016/17,La Liga||2016/17
La Liga,Serbia,,8,2016/17,La Liga||2016/17
La Liga,Uruguay,,8,2016/17,La Liga||2016/17
La Liga,Croatia,,7,2016/17,La Liga||2016/17
La Liga,Venezuela,,7,2016/17,La Liga||2016/17
La Liga,Colombia,,6,2016/17,La Liga||2016/17
La Liga,Denmark,,5,2016/17,La Liga||2016/17
La Liga,Belgium,,5,2016/17,La Liga||2016/17
La Liga,Chile,,5,2016/17,La Liga||2016/17
La Liga,Netherlands,,4,2016/17,La Liga||2016/17
La Liga,Cameroon,,4,2016/17,La Liga||2016/17
La Liga,Mexico,,4,2016/17,La Liga||2016/17
La Liga,Morocco,,4,2016/17,La Liga||2016/17
La Liga,Costa Rica,,3,2016/17,La Liga||2016/17
La Liga,Algeria,,3,2016/17,La Liga||2016/17
La Liga,Senegal,,3,2016/17,La Liga||2016/17
La Liga,Germany,,3,2016/17,La Liga||2016/17
La Liga,Paraguay,,3,2016/17,La Liga||2016/17
La Liga,"Cote d'Ivoire",,3,2016/17,La Liga||2016/17
La Liga,Ghana,,3,2016/17,La Liga||2016/17
La Liga,Montenegro,,3,2016/17,La Liga||2016/17
La Liga,Ecuador,,2,2016/17,La Liga||2016/17
La Liga,Slovenia,,2,2016/17,La Liga||2016/17
La Liga,Japan,,2,2016/17,La Liga||2016/17
La Liga,Romania,,2,2016/17,La Liga||2016/17
La Liga,Greece,,2,2016/17,La Liga||2016/17
La Liga,Ukraine,,2,2016/17,La Liga||2016/17
La Liga,Russia,,2,2016/17,La Liga||2016/17
La Liga,Turkey,,2,2016/17,La Liga||2016/17
La Liga,Nigeria,,2,2016/17,La Liga||2016/17
La Liga,Mali,,1,2016/17,La Liga||2016/17
La Liga,Tunisia,,1,2016/17,La Liga||2016/17
La Liga,Wales,,1,2016/17,La Liga||2016/17
La Liga,Sweden,,1,2016/17,La Liga||2016/17
La Liga,Australia,,1,2016/17,La Liga||2016/17
La Liga,Dominican Republic,,1,2016/17,La Liga||2016/17
La Liga,Qatar,,1,2016/17,La Liga||2016/17
La Liga,Martinique,,1,2016/17,La Liga||2016/17
La Liga,Bosnia and Herzegovina,,1,2016/17,La Liga||2016/17
La Liga,Israel,,1,2016/17,La Liga||2016/17
La Liga,Poland,,1,2016/17,La Liga||2016/17
La Liga,Iceland,,1,2016/17,La Liga||2016/17
La Liga,Burkina Faso,,1,2016/17,La Liga||2016/17
La Liga,Guadeloupe,,1,2016/17,La Liga||2016/17
French Ligue 1,France,,317,2016/17,French Ligue 1||2016/17
French Ligue 1,Brazil,,21,2016/17,French Ligue 1||2016/17
French Ligue 1,Senegal,,16,2016/17,French Ligue 1||2016/17
French Ligue 1,Portugal,,15,2016/17,French Ligue 1||2016/17
French Ligue 1,"Cote d'Ivoire",,13,2016/17,French Ligue 1||2016/17
French Ligue 1,Cameroon,,11,2016/17,French Ligue 1||2016/17
