League,Country,Team,Players,Season,KEY
Premier League,England,,186,2015/16,Premier League||2015/16
Premier League,Spain,,35,2015/16,Premier League||2015/16
Premier League,France,,35,2015/16,Premier League||2015/16
Premier League,Netherlands,,21,2015/16,Premier League||2015/16
Premier League,Republic of Ireland,,20,2015/16,Premier League||2015/16
Premier League,Belgium,,19,2015/16,Premier League||2015/16
Premier League,Wales,,17,2015/16,Premier League||2015/16
Premier League,Argentina,,17,2015/16,Premier League||2015/16
Premier League,Scotland,,15,2015/16,Premier League||2015/16
Premier League,Brazil,,14,2015/16,Premier League||2015/16
Premier League,Senegal,,10,2015/16,Premier League||2015/16
Premier League,Northern Ireland,,8,2015/16,Premier League||2015/16
Premier League,Germany,,8,2015/16,Premier League||2015/16
Premier League,"Cote d'Ivoire",,8,2015/16,Premier League||2015/16
Premier League,Italy,,7,2015/16,Premier League||2015/16
Premier League,Nigeria,,7,2015/16,Premier League||2015/16
Premier League,Switzerland,,6,2015/16,Premier League||2015/16
Premier League,Portugal,,6,2015/16,Premier League||2015/16
Premier League,Sweden,,5,2015/16,Premier League||2015/16
Premier League,Colombia,,5,2015/16,Premier League||2015/16
Premier League,Ghana,,5,2015/16,Premier League||2015/16
Premier League,United States,,5,2015/16,Premier League||2015/16
Premier League,Serbia,,5,2015/16,Premier League||2015/16
Premier League,Ecuador,,4,2015/16,Premier League||2015/16
Premier League,Uruguay,,4,2015/16,Premier League||2015/16
Premier League,Democratic Republic of Congo,,4,2015/16,Premier League||2015/16
Premier League,Austria,,4,2015/16,Premier League||2015/16
Premier League,Denmark,,4,2015/16,Premier League||2015/16
Premier League,Cameroon,,4,2015/16,Premier League||2015/16
Premier League,Croatia,,3,2015/16,Premier League||2015/16
Premier League,Norway,,3,2015/16,Premier League||2015/16
Premier League,South Korea,,3,2015/16,Premier League||2015/16
Premier League,Algeria,,3,2015/16,Premier League||2015/16
Premier League,Poland,,3,2015/16,Premier League||2015/16
Premier League,Australia,,3,2015/16,Premier League||2015/16
Premier League,Jamaica,,3,2015/16,Premier League||2015/16
Premier League,Costa Rica,,3,2015/16,Premier League||2015/16
Premier League,Mali,,2,2015/16,Premier League||2015/16
Premier League,Curacao,,2,2015/16,Premier League||2015/16
Premier League,Bosnia and Herzegovina,,2,2015/16,Premier League||2015/16
Premier League,Japan,,2,2015/16,Premier League||2015/16
Premier League,Morocco,,2,2015/16,Premier League||2015/16
Premier League,Mexico,,2,2015/16,Premier League||2015/16
Premier League,Slovakia,,2,2015/16,Premier League||2015/16
Premier League,Benin,,2,2015/16,Premier League||2015/16
Premier League,Czech Republic,,2,2015/16,Premier League||2015/16
Premier League,South Africa,,2,2015/16,Premier League||2015/16
Premier League,Tunisia,,2,2015/16,Premier League||2015/16
Premier League,Romania,,1,2015/16,Premier League||2015/16
Premier League,Togo,,1,2015/16,Premier League||2015/16
Premier League,Venezuela,,1,2015/16,Premier League||2015/16
Premier League,Hungary,,1,2015/16,Premier League||2015/16
Premier League,Egypt,,1,2015/16,Premier League||2015/16
Premier League,Burkina Faso,,1,2015/16,Premier League||2015/16
Premier League,Chile,,1,2015/16,Premier League||2015/16
Premier League,The Gambia,,1,2015/16,Premier League||2015/16
Premier League,Iceland,,1,2015/16,Premier League||2015/16
Premier League,Kenya,,1,2015/16,Premier League||2015/16
Premier League,Lithuania,,1,2015/16,Premier League||2015/16
Premier League,Paraguay,,1,2015/16,Premier League||2015/16
Premier League,New Zealand,,1,2015/16,Premier League||2015/16
Premier League,Kosovo,,1,2015/16,Premier League||2015/16
Premier League,Greece,,1,2015/16,Premier League||2015/16
Premier League,Canada,,1,2015/16,Premier League||2015/16
Bundesliga,Germany,,220,2015/16,Bundesliga||2015/16
Bundesliga,Switzerland,,22,2015/16,Bundesliga||2015/16
Bundesliga,Brazil,,18,2015/16,Bundesliga||2015/16
Bundesliga,Austria,,17,2015/16,Bundesliga||2015/16
Bundesliga,Serbia,,12,2015/16,Bundesliga||2015/16
Bundesliga,Japan,,11,2015/16,Bundesliga||2015/16
Bundesliga,Turkey,,11,2015/16,Bundesliga||2015/16
Bundesliga,Czech Republic,,9,2015/16,Bundesliga||2015/16
Bundesliga,Netherlands,,9,2015/16,Bundesliga||2015/16
Bundesliga,United States,,8,2015/16,Bundesliga||2015/16
Bundesliga,France,,8,2015/16,Bundesliga||2015/16
Bundesliga,Poland,,8,2015/16,Bundesliga||2015/16
Bundesliga,Sweden,,7,2015/16,Bundesliga||2015/16
Bundesliga,Spain,,7,2015/16,Bundesliga||2015/16
Bundesliga,Denmark,,7,2015/16,Bundesliga||2015/16
Bundesliga,Croatia,,6,2015/16,Bundesliga||2015/16
Bundesliga,South Korea,,6,2015/16,Bundesliga||2015/16
Bundesliga,Bosnia and Herzegovina,,6,2015/16,Bundesliga||2015/16
Bundesliga,Norway,,6,2015/16,Bundesliga||2015/16
Bundesliga,Chile,,6,2015/16,Bundesliga||2015/16
Bundesliga,Argentina,,5,2015/16,Bundesliga||2015/16
Bundesliga,Belgium,,5,2015/16,Bundesliga||2015/16
Bundesliga,Hungary,,4,2015/16,Bundesliga||2015/16
Bundesliga,Australia,,3,2015/16,Bundesliga||2015/16
Bundesliga,Colombia,,3,2015/16,Bundesliga||2015/16
Bundesliga,Peru,,3,2015/16,Bundesliga||2015/16
Bundesliga,Slovakia,,3,2015/16,Bundesliga||2015/16
Bundesliga,Slovenia,,3,2015/16,Bundesliga||2015/16
Bundesliga,"Cote d'Ivoire",,3,2015/16,Bundesliga||2015/16
Bundesliga,Italy,,3,2015/16,Bundesliga||2015/16
Bundesliga,Greece,,3,2015/16,Bundesliga||2015/16
Bundesliga,Cameroon,,3,2015/16,Bundesliga||2015/16
Bundesliga,Ukraine,,2,2015/16,Bundesliga||2015/16
Bundesliga,Portugal,,2,2015/16,Bundesliga||2015/16
Bundesliga,Morocco,,2,2015/16,Bundesliga||2015/16
Bundesliga,Mexico,,2,2015/16,Bundesliga||2015/16
Bundesliga,Paraguay,,2,2015/16,Bundesliga||2015/16
Bundesliga,Senegal,,2,2015/16,Bundesliga||2015/16
Bundesliga,Nigeria,,2,2015/16,Bundesliga||2015/16
Bundesliga,Democratic Republic of Congo,,1,2015/16,Bundesliga||2015/16
Bundesliga,Mali,,1,2015/16,Bundesliga||2015/16
Bundesliga,Kazakhstan,,1,2015/16,Bundesliga||2015/16
Bundesliga,Gabon,,1,2015/16,Bundesliga||2015/16
Bundesliga,Armenia,,1,2015/16,Bundesliga||2015/16
Bundesliga,Kosovo,,1,2015/16,Bundesliga||2015/16
Bundesliga,Russia,,1,2015/16,Bundesliga||2015/16
Bundesliga,Estonia,,1,2015/16,Bundesliga||2015/16
Bundesliga,Guinea,,1,2015/16,Bundesliga||2015/16
Bundesliga,Finland,,1,2015/16,Bundesliga||2015/16
Bundesliga,Ghana,,1,2015/16,Bundesliga||2015/16
Bundesliga,Ecuador,,1,2015/16,Bundesliga||2015/16
Bundesliga,Latvia,,1,2015/16,Bundesliga||2015/16
